,actions_id,actions_tx_hash,actions_timestamp,actions_action_type,actions_amount,actions_transfer_amount,actions_transfer_sender_id,actions_transfer_sender_holdings,actions_transfer_receiver_id,actions_transfer_receiver_holdings
260,OTHER-50045ab32c0518150e70689d1a8a88c29a83d4ef13a9972719ecb5d430217ae2,50045ab32c0518150e70689d1a8a88c29a83d4ef13a9972719ecb5d430217ae2,1615238186,OTHER,,,0x,0.0,0x,0.0
261,OTHER-d493e7c121c3419aff79dc8685a19009f3c3568de16c5ee2c99159e4bab1191d,d493e7c121c3419aff79dc8685a19009f3c3568de16c5ee2c99159e4bab1191d,1615238174,OTHER,,,0x,0.0,0x,0.0
262,OTHER-0277616a95fbabaf3c255b0ee40872a1bc9ea52a6e437c1741b1d8d9844cb037,0277616a95fbabaf3c255b0ee40872a1bc9ea52a6e437c1741b1d8d9844cb037,1615238174,OTHER,,,0x,0.0,0x,0.0
263,UNWRAP-46f0024a9084cc1a0896baf2ba6b7853f65f505c79252910363bb4817f61afb0,46f0024a9084cc1a0896baf2ba6b7853f65f505c79252910363bb4817f61afb0,1615238082,UNWRAP,99270000000000000000,99270000000000000000,0xe1e2a52a21226ba37f28ba6cdf59f20156798f94,4711658623150523.0,0x0000000000000000000000000000000000000000,-7.388155125109074e+21
264,SEND-ccc89f71d4fe580d16b7fa241bed8500941790650ec9e3a88dd6aeaa9647df10,ccc89f71d4fe580d16b7fa241bed8500941790650ec9e3a88dd6aeaa9647df10,1615237892,SEND,89049416357784966020,89049416357784966020,0xcd91538b91b4ba7797d39a2f66e63810b50a33d0,7.174420301602505e+21,0xe1e2a52a21226ba37f28ba6cdf59f20156798f94,4711658623150523.0
265,WRAP-102d45d5439777d30bf059f904953224ce04c3c822952e1427711ca1e78ab50e,102d45d5439777d30bf059f904953224ce04c3c822952e1427711ca1e78ab50e,1615237830,WRAP,26506348012852381189,26506348012852381189,0x0000000000000000000000000000000000000000,-7.388155125109074e+21,0xf49d2bcc52f0b46a98204721f98ce9d4e6730bed,2635461747073631.0
266,SEND-f65568bc972a485c8b4ddda1f59cf4914bc171ab37eb77f81b1ec5c3189baac4,f65568bc972a485c8b4ddda1f59cf4914bc171ab37eb77f81b1ec5c3189baac4,1615237803,SEND,0,0,0xcd91538b91b4ba7797d39a2f66e63810b50a33d0,7.174420301602505e+21,0xe1e2a52a21226ba37f28ba6cdf59f20156798f94,4711658623150523.0
267,WRAP-91240de9d83cc47d256089ae1744494745955f863d2aece372b1de153ea23b1e,91240de9d83cc47d256089ae1744494745955f863d2aece372b1de153ea23b1e,1615237798,WRAP,59167728148539397712,59167728148539397712,0x0000000000000000000000000000000000000000,-7.388155125109074e+21,0x16f037a3ddf53da1b047a926e1833219f0a8e1fc,0.0
268,OTHER-f4051a36d59b7a76e0cd452d6e9b1546d2ff827463b1acfdb7cdd31891c3d8c3,f4051a36d59b7a76e0cd452d6e9b1546d2ff827463b1acfdb7cdd31891c3d8c3,1615237798,OTHER,,,0x,0.0,0x,0.0
269,WRAP-a100d59d98753663f843e488f11c38fc87d41ad302adaaa15c23cce9a6b13b9e,a100d59d98753663f843e488f11c38fc87d41ad302adaaa15c23cce9a6b13b9e,1615237750,WRAP,44077971976428678832,44077971976428678832,0x0000000000000000000000000000000000000000,-7.388155125109074e+21,0xa3829551320b8c642e050b673e94a8560048a45e,4.4077971976428675e+19
270,OTHER-802f5cbc7d55f4a5555ab01c96bd83107c356f96ae97480a5bfe1cfbe5a3b794,802f5cbc7d55f4a5555ab01c96bd83107c356f96ae97480a5bfe1cfbe5a3b794,1615237533,OTHER,,,0x,0.0,0x,0.0
271,OTHER-48b0c40f239e41b75050402ca02bb0698ff7ffa21e77bbf30e3dd5139195de00,48b0c40f239e41b75050402ca02bb0698ff7ffa21e77bbf30e3dd5139195de00,1615237381,OTHER,,,0x,0.0,0x,0.0
272,OTHER-b790a4c2f853be4b0592830eae0daa104d7cdb5b32e1cd0f910460c6c7856aed,b790a4c2f853be4b0592830eae0daa104d7cdb5b32e1cd0f910460c6c7856aed,1615237308,OTHER,,,0x,0.0,0x,0.0
273,OTHER-0501d75c9b6cf0de85457c9962cd4c55db0f31de6a8ea5a983d79b2d1bbe4ef0,0501d75c9b6cf0de85457c9962cd4c55db0f31de6a8ea5a983d79b2d1bbe4ef0,1615237300,OTHER,,,0x,0.0,0x,0.0
274,OTHER-d4b61a56c23dc9935c10aae4a96f9792d7a820ab7191d8f7518846d761b14e09,d4b61a56c23dc9935c10aae4a96f9792d7a820ab7191d8f7518846d761b14e09,1615237197,OTHER,,,0x,0.0,0x,0.0
275,WRAP-4bc7837112e9dc4705314c5090be006aa9d54ab410201d1328a1eba40da8e580,4bc7837112e9dc4705314c5090be006aa9d54ab410201d1328a1eba40da8e580,1615237114,WRAP,30629028238611683384,30629028238611683384,0x0000000000000000000000000000000000000000,-7.388155125109074e+21,0xfffe1f5d42dc16af7c05d0aa24d2c649a869b367,0.0
